name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45.0,25.0,sweet,dessert,West Bengal,East
Boondi,"Gram flour, ghee, sugar",vegetarian,80.0,30.0,,dessert,Rajasthan,West
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15.0,30.0,sweet,dessert,Punjab,North
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15.0,30.0,sweet,dessert,Rajasthan,West
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15.0,30.0,sweet,dessert,West Bengal,East
Imarti,"Sugar syrup, lentil flour",vegetarian,,30.0,,dessert,West Bengal,East
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10.0,30.0,sweet,dessert,Uttar Pradesh,North
Kaju katli,"Cashews, ghee, cardamom, sugar",,10.0,30.0,sweet,dessert,-1,-1
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20.0,30.0,,dessert,West Bengal,East
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10.0,30.0,sweet,dessert,-1,-1
Laddu,"Gram flour, ghee, sugar",vegetarian,10.0,30.0,sweet,dessert,-1,-1
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5.0,5.0,sweet,dessert,Punjab,North
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20.0,30.0,sweet,dessert,-1,-1
